Title,Media URL,Pinterest board,Description,Link,Keywords
Aurel Oval East-West: Oval lab-grown diamond engagement ring,https://www.alvoradiamonds.com/assets/social/pieces/alv-r-0001.jpg,Oval engagement rings,"An oval lab-grown diamond turned on its side and held in a slim east-west setting. Centre stone 0.5 to 6 ct, VS1 clarity, Excellent polish and symmetry, lab-grown. Made to order in silver, 14K or 18K gold, or platinum.",https://www.alvoradiamonds.com/jewellery/aurel-oval-east-west?utm_source=pinterest&utm_medium=social&utm_campaign=p1-2026-10,"oval ring, lab grown diamond, engagement ring, east-west setting, made to order"
Vela Emerald Bezel: Emerald lab-grown diamond engagement ring,https://www.alvoradiamonds.com/assets/social/pieces/alv-r-0003.jpg,Emerald engagement rings,"An emerald lab-grown diamond wrapped in a clean, protective bezel of polished gold. Centre stone 0.5 to 6 ct, VS1 clarity, Excellent polish and symmetry, lab-grown. Made to order in silver, 14K or 18K gold, or platinum.",https://www.alvoradiamonds.com/jewellery/vela-emerald-bezel?utm_source=pinterest&utm_medium=social&utm_campaign=p1-2026-10,"emerald ring, lab grown diamond, engagement ring, bezel setting, made to order"
Orla Emerald Bezel: Emerald lab-grown diamond engagement ring,https://www.alvoradiamonds.com/assets/social/pieces/alv-r-0004.jpg,Emerald engagement rings,"An emerald lab-grown diamond wrapped in a clean, protective bezel of polished gold. Centre stone 0.5 to 6 ct, VS1 clarity, Excellent polish and symmetry, lab-grown. Made to order in silver, 14K or 18K gold, or platinum.",https://www.alvoradiamonds.com/jewellery/orla-emerald-bezel?utm_source=pinterest&utm_medium=social&utm_campaign=p1-2026-10,"emerald ring, lab grown diamond, engagement ring, bezel setting, made to order"
Ondine Oval Bezel: Oval lab-grown diamond engagement ring,https://www.alvoradiamonds.com/assets/social/pieces/alv-r-0005.jpg,Oval engagement rings,"An oval lab-grown diamond wrapped in a clean, protective bezel of polished gold. Centre stone 0.5 to 6 ct, VS1 clarity, Excellent polish and symmetry, lab-grown. Made to order in silver, 14K or 18K gold, or platinum.",https://www.alvoradiamonds.com/jewellery/ondine-oval-bezel?utm_source=pinterest&utm_medium=social&utm_campaign=p1-2026-10,"oval ring, lab grown diamond, engagement ring, bezel setting, made to order"
Aurel Pear East-West: Pear lab-grown diamond engagement ring,https://www.alvoradiamonds.com/assets/social/pieces/alv-r-0006.jpg,Pear engagement rings,"A pear lab-grown diamond turned on its side and held in a slim east-west setting. Centre stone 0.5 to 6 ct, VS1 clarity, Excellent polish and symmetry, lab-grown. Made to order in silver, 14K or 18K gold, or platinum.",https://www.alvoradiamonds.com/jewellery/aurel-pear-east-west?utm_source=pinterest&utm_medium=social&utm_campaign=p1-2026-10,"pear ring, lab grown diamond, engagement ring, east-west setting, made to order"
Selene Elongated Cushion Heritage: Elongated Cushion lab-grown diamond engagement ring,https://www.alvoradiamonds.com/assets/social/pieces/alv-r-0007.jpg,Elongated Cushion engagement rings,"An elongated cushion lab-grown diamond in a heritage setting with hand-finished detailing along the band. Centre stone 0.5 to 6 ct, VS1 clarity, Excellent polish and symmetry, lab-grown. Made to order in silver, 14K or 18K gold, or platinum.",https://www.alvoradiamonds.com/jewellery/selene-elongated-cushion-heritage?utm_source=pinterest&utm_medium=social&utm_campaign=p1-2026-10,"elongated cushion ring, lab grown diamond, engagement ring, heritage setting, made to order"
Selene Oval Heritage: Oval lab-grown diamond engagement ring,https://www.alvoradiamonds.com/assets/social/pieces/alv-r-0008.jpg,Oval engagement rings,"An oval lab-grown diamond in a heritage setting with hand-finished detailing along the band. Centre stone 0.5 to 6 ct, VS1 clarity, Excellent polish and symmetry, lab-grown. Made to order in silver, 14K or 18K gold, or platinum.",https://www.alvoradiamonds.com/jewellery/selene-oval-heritage?utm_source=pinterest&utm_medium=social&utm_campaign=p1-2026-10,"oval ring, lab grown diamond, engagement ring, heritage setting, made to order"
Cyra Round Studs: Round lab-grown diamond earrings,https://www.alvoradiamonds.com/assets/social/pieces/alv-e-0001.jpg,Diamond earrings,"A pair of round lab-grown diamonds in secure claw settings, matched stone for stone. Centre stone 0.5 to 6 ct, VS1 clarity, Excellent polish and symmetry, lab-grown. Made to order in silver, 14K or 18K gold, or platinum.",https://www.alvoradiamonds.com/jewellery/cyra-round-studs?utm_source=pinterest&utm_medium=social&utm_campaign=p1-2026-10,"round ring, lab grown diamond, earrings, studs setting, made to order"
Maelis Round Studs: Round lab-grown diamond earrings,https://www.alvoradiamonds.com/assets/social/pieces/alv-e-0002.jpg,Diamond earrings,"A pair of round lab-grown diamonds in secure claw settings, matched stone for stone. Centre stone 0.5 to 6 ct, VS1 clarity, Excellent polish and symmetry, lab-grown. Made to order in silver, 14K or 18K gold, or platinum.",https://www.alvoradiamonds.com/jewellery/maelis-round-studs?utm_source=pinterest&utm_medium=social&utm_campaign=p1-2026-10,"round ring, lab grown diamond, earrings, studs setting, made to order"
Nerida Elongated Cushion Bezel: Elongated Cushion lab-grown diamond engagement ring,https://www.alvoradiamonds.com/assets/social/pieces/alv-r-0010.jpg,Elongated Cushion engagement rings,"An elongated cushion lab-grown diamond wrapped in a clean, protective bezel of polished gold. Centre stone 0.5 to 6 ct, VS1 clarity, Excellent polish and symmetry, lab-grown. Made to order in silver, 14K or 18K gold, or platinum.",https://www.alvoradiamonds.com/jewellery/nerida-elongated-cushion-bezel?utm_source=pinterest&utm_medium=social&utm_campaign=p1-2026-10,"elongated cushion ring, lab grown diamond, engagement ring, bezel setting, made to order"
