stock_no,category,colour,shape,carat,carat_band,clarity,cut,polish,symmetry,measurements,depth_pct,table_pct,ratio,lab,cert_no,verify_url,video_url
760-17,White,F,Round,3.05,3.00–4.99ct,VS1,IDEAL,EX,EX,9.34 X 9.41 X 5.67,60.5,58,0.99,IGI,819696674,https://api.igi.org/viewpdf.php?r=819696674,
D-5,Fancy Colour,Fancy Vivid Pink,Pear,25.03,10ct +,VS1,,EX,EX,22.71 X 14.64 X 9.44,64.5,64,1.55,IGI,788606730,https://api.igi.org/viewpdf.php?r=788606730,
D-2,Fancy Colour,Fancy Intense Blue,Pear,23.13,10ct +,VS1,,EX,EX,25.03 X 15.88 X 8.25,52,62,1.58,IGI,779607501,https://api.igi.org/viewpdf.php?r=779607501,
759-591,White,E,Round,2.55,2.00–2.99ct,VS2,IDEAL,EX,EX,8.68 X 8.73 X 5.43,62.4,59,0.99,IGI,819696607,https://api.igi.org/viewpdf.php?r=819696607,
761-16,White,E,Round,2.54,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.77 X 8.81 X 5.39,61.3,58,1,IGI,823684141,https://api.igi.org/viewpdf.php?r=823684141,
760-729,White,E,Round,2.54,2.00–2.99ct,VS1,IDEAL,EX,EX,8.84 X 8.88 X 5.3,59.8,58,1,IGI,821689322,https://api.igi.org/viewpdf.php?r=821689322,
758-50,White,D,Round,2.5,2.00–2.99ct,VS1,IDEAL,EX,EX,8.65 X 8.72 X 5.42,62.4,56,0.99,IGI,815680856,https://api.igi.org/viewpdf.php?r=815680856,
758-512,White,E,Round,2.49,2.00–2.99ct,VS1,IDEAL,EX,EX,8.65 X 8.74 X 5.27,60.6,59,0.99,IGI,823643369,https://api.igi.org/viewpdf.php?r=823643369,
758-271,White,E,Round,2.4,2.00–2.99ct,VS1,IDEAL,EX,EX,8.55 X 8.59 X 5.28,61.6,58,1,IGI,817605902,https://api.igi.org/viewpdf.php?r=817605902,
749-57,White,E,Round,2.36,2.00–2.99ct,VS1,EX,EX,EX,8.45 X 8.52 X 5.33,62.8,57,0.99,IGI,790622155,https://api.igi.org/viewpdf.php?r=790622155,
739-390,White,E,Round,2.36,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.53 X 8.59 X 5.23,61.1,59,0.99,IGI,779665150,https://api.igi.org/viewpdf.php?r=779665150,
756-51,White,F,Round,2.32,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.52 X 8.56 X 5.2,60.9,59,1,IGI,803618076,https://api.igi.org/viewpdf.php?r=803618076,
750-90,White,F,Round,2.31,2.00–2.99ct,VS1,IDEAL,EX,EX,8.46 X 8.5 X 5.2,61.3,58,1,IGI,790622102,https://api.igi.org/viewpdf.php?r=790622102,
763-17,White,D,Round,2.26,2.00–2.99ct,VS1,IDEAL,EX,EX,8.46 X 8.49 X 5.23,61.7,57,1,IGI,824615645,https://api.igi.org/viewpdf.php?r=824615645,
746-32,White,F,Round,2.24,2.00–2.99ct,VS1,IDEAL,EX,EX,8.44 X 8.48 X 5.18,61.3,57,1,IGI,786622099,https://api.igi.org/viewpdf.php?r=786622099,
760-570,White,F,Round,2.23,2.00–2.99ct,VS2,IDEAL,EX,EX,8.36 X 8.45 X 5.15,61.3,59,0.99,IGI,821689326,https://api.igi.org/viewpdf.php?r=821689326,
746-3,White,F,Round,2.23,2.00–2.99ct,VS1,IDEAL,EX,EX,8.34 X 8.39 X 5.17,61.7,58,0.99,IGI,786622097,https://api.igi.org/viewpdf.php?r=786622097,
760-20,White,E,Round,2.22,2.00–2.99ct,VS1,IDEAL,EX,EX,8.44 X 8.48 X 5.12,60.6,57,1,IGI,818696484,https://api.igi.org/viewpdf.php?r=818696484,
761-211,White,F,Round,2.22,2.00–2.99ct,VS1,IDEAL,EX,EX,8.38 X 8.43 X 5.14,61.2,59,0.99,IGI,824615695,https://api.igi.org/viewpdf.php?r=824615695,
MA135-1-249,Fancy Colour,Fancy Vivid Pink,Cushion,11.11,10ct +,VS1,,EX,EX,16.07 X 9.79 X 6.21,65,63,1.64,IGI,629471133,https://api.igi.org/viewpdf.php?r=629471133,
MA135-1-248,Fancy Colour,Fancy Vivid Pink,Cushion,11.11,10ct +,VS2,,EX,EX,15.82 X 9.71 X 5.86,65.2,63,1.63,IGI,629471134,https://api.igi.org/viewpdf.php?r=629471134,
