stock_no,category,colour,shape,carat,carat_band,clarity,cut,polish,symmetry,measurements,depth_pct,table_pct,ratio,lab,cert_no,verify_url,video_url
PDKP-2227,Fancy Colour,VIVID BLUE,OVAL,20.02,10ct+,VS2,,EX,VG,20.01 - 14.63 * 8.82,60.3,62.0,1.37,IGI,793622320,https://api.igi.org/viewpdf.php?r=793622320,https://workshop.360view.link/360viewer/360view.html?d=0306266-PDKP-2227
PDJP-111,Fancy Colour,VIVID BLUE,PEAR,1.41,1.00–1.99ct,VS1,,VG,VG,9.43 - 6.22 * 3.73,60.0,63.0,1.52,IGI,825681216,https://api.igi.org/viewpdf.php?r=825681216,https://workshop.360view.link/360viewer/360view.html?d=1808260-JP-111
PDKP-2441,Fancy Colour,LIGHT BROWN,OVAL,1.51,1.00–1.99ct,VVS2,,EX,EX,8.49 - 5.88 * 3.85,65.5,63.0,1.44,IGI,826605149,https://api.igi.org/viewpdf.php?r=826605149,https://workshop.360view.link/360viewer/360view.html?d=2208268-PDKP-2441
PDPV-123A,Fancy Colour,VIVID BROWN,PEAR,4.62,3.00–4.99ct,VS1,,EX,EX,14.82 - 8.84 * 5.34,60.4,65.0,1.68,IGI,784654973,https://api.igi.org/viewpdf.php?r=784654973,https://workshop.360view.link/360viewer/360view.html?d=2104262-PV-49-
PDKP-2434,Fancy Colour,LIGHT BROWN,OVAL,2.01,2.00–2.99ct,VVS2,,EX,EX,9.73 - 6.54 * 4.03,61.6,57.0,1.49,IGI,826605154,https://api.igi.org/viewpdf.php?r=826605154,https://workshop.360view.link/360viewer/360view.html?d=2408261-PDKP-2434
PDKP-2435,Fancy Colour,LIGHT BROWN,OVAL,2.56,2.00–2.99ct,VS1,,EX,EX,10.11 - 7.01 * 4.37,62.3,66.0,1.44,IGI,826605153,https://api.igi.org/viewpdf.php?r=826605153,https://workshop.360view.link/360viewer/360view.html?d=2408262-PDKP-2435
PDKP-2452,Fancy Colour,FANCY LIGHT BROWN,CUSHION,1.81,1.00–1.99ct,VS1,,EX,EX,8.34 - 6.06 * 3.91,64.5,64.0,1.38,IGI,826605390,https://api.igi.org/viewpdf.php?r=826605390,
PDKP-2457,Fancy Colour,LIGHT BROWN,CUSHION,1.96,1.00–1.99ct,VS1,,EX,EX,8.47 - 6.14 * 4.03,65.6,62.0,1.38,IGI,826605472,https://api.igi.org/viewpdf.php?r=826605472,
PDKP-2456,Fancy Colour,LIGHT BROWN,CUSHION,1.87,1.00–1.99ct,VS1,,EX,EX,9.44 - 6.29 * 3.66,58.2,53.0,1.5,IGI,826605473,https://api.igi.org/viewpdf.php?r=826605473,https://workshop.360view.link/360viewer/360view.html?d=2608266-PDKP-2456
PDKP-2433,Fancy Colour,FANCY LIGHT BROWN,OVAL,1.15,1.00–1.99ct,VVS2,,VG,VG,7.74 - 5.36 * 3.53,65.9,60.0,1.44,IGI,826605155,https://api.igi.org/viewpdf.php?r=826605155,https://workshop.360view.link/360viewer/360view.html?d=2608265-PDKP-2433
PDKP-1829,Fancy Colour,VIVID GREEN,CUSHION,1.59,1.00–1.99ct,VS1,,VG,EX,7.70 - 5.89 * 4.10,67.0,69.9,1.31,IGI,731579976,https://api.igi.org/viewpdf.php?r=731579976,https://workshop.360view.link/360viewer/360view.html?d=2811254-MK311
PDKP-1823,Fancy Colour,VIVID GREEN,CUSHION,1.51,1.00–1.99ct,VS2,,EX,FAIR,8 - 5.78 * 4,62.0,69.0,1.38,IGI,731579970,https://api.igi.org/viewpdf.php?r=731579970,https://workshop.360view.link/360viewer/360view.html?d=2811250-MK308
PDKP-2029,Fancy Colour,VIVID GREEN,RADIANT,3.06,3.00–4.99ct,VS1,,GOOD,EX,10.14 - 7.10 * 4.84,66.0,68.2,1.43,IGI,764698586,https://api.igi.org/viewpdf.php?r=764698586,https://workshop.360view.link/360viewer/360view.html?d=0902261-PDKP-2029
PDJK-20,Fancy Colour,VIVID GREEN,RADIANT,2.4,2.00–2.99ct,VS1,,EX,EX,9.60 - 6.50 * 4.34,66.8,65.0,1.48,IGI,783631333,https://api.igi.org/viewpdf.php?r=783631333,https://workshop.360view.link/360viewer/360view.html?d=0304261-JK-20
PDKP-1895,Fancy Colour,VIVID GREEN,ROUND,1.04,1.00–1.99ct,SI1,ID,VG,EX,6.50 - 6.53 * 4,61.3,56.0,1.0,IGI,735517050,https://api.igi.org/viewpdf.php?r=735517050,https://workshop.360view.link/360viewer/360view.html?d=2811250-MK318
PDKP-1896,Fancy Colour,VIVID GREEN,ROUND,0.81,Under 1ct,SI1,VG,VG,GOOD,6 - 6.01 * 3.60,59.9,63.0,1.0,IGI,735508795,https://api.igi.org/viewpdf.php?r=735508795,https://workshop.360view.link/360viewer/360view.html?d=2811251-mk319
